latitude,longitude,,,,,
13.5706,100.8373,,,,,
13.5706,100.8373,,,,,
13.5706,100.8373,,,,,
13.5706,100.8373,,,,,
13.5706,100.8373,,,,,
13.5707,100.8373,,,,,
13.5707,100.8373,,,,,
13.5707,100.8373,,,,,
13.5707,100.8373,,,,,
13.5707,100.8373,,,,,
13.5707,100.8373,,,,,
13.5707,100.8373,,,,,
13.5707,100.8373,,,,,
13.5707,100.8373,,,,,
13.5707,100.8373,,,,,
13.5707,100.8373,,,,,
13.5707,100.8373,,,,,
13.5707,100.8373,,,,,
13.5707,100.8373,,,,,
13.5707,100.8373,,,,,
13.5707,100.8373,,,,,
13.5707,100.8373,,,,,
13.5707,100.8373,,,,,
13.5707,100.8374,,,,,
13.5707,100.8374,,,,,
13.5708,100.8374,,,,,
13.5708,100.8374,,,,,
13.5708,100.8374,,,,,
13.5708,100.8374,,,,,
13.5708,100.8374,,,,,
13.5708,100.8374,,,,,
13.5708,100.8374,,,,,
13.5709,100.8374,,,,,
13.5709,100.8374,,,,,
13.5709,100.8374,,,,,
13.5709,100.8374,,,,,
13.5709,100.8374,,,,,
13.571,100.8374,,,,,
13.571,100.8374,,,,,
13.571,100.8374,,,,,
13.571,100.8374,,,,,
13.571,100.8374,,,,,
13.571,100.8374,,,,,
13.571,100.8374,,,,,
13.571,100.8374,,,,,
13.571,100.8374,,,,,
13.571,100.8374,,,,,
13.571,100.8374,,,,,
13.571,100.8374,,,,,
13.571,100.8374,,,,,
13.5711,100.8374,,,,,
13.5711,100.8373,,,,,
13.5711,100.8373,,,,,
13.5712,100.8373,,,,,
13.5712,100.8373,,,,,
13.5713,100.8373,,,,,
13.5713,100.8373,,,,,
13.5714,100.8373,,,,,
13.5714,100.8372,,,,,
13.5715,100.8372,,,,,
13.5715,100.8372,,,,,
13.5715,100.8372,,,,,
13.5716,100.8372,,,,,
13.5716,100.8372,,,,,
13.5717,100.8372,,,,,
13.5717,100.8371,,,,,
13.5717,100.8371,,,,,
13.5718,100.8371,,,,,
13.5718,100.8371,,,,,
13.5718,100.8371,,,,,
13.5719,100.8371,,,,,
13.5719,100.8371,,,,,
13.572,100.8371,,,,,
13.572,100.8371,,,,,
13.572,100.837,,,,,
13.572,100.837,,,,,
13.5721,100.837,,,,,
13.5721,100.837,,,,,
13.5721,100.837,,,,,
13.5721,100.837,,,,,
13.5721,100.837,,,,,
13.5722,100.837,,,,,
13.5722,100.837,,,,,
13.5722,100.837,,,,,
13.5722,100.837,,,,,
13.5722,100.837,,,,,
13.5722,100.837,,,,,
13.5722,100.837,,,,,
13.5722,100.837,,,,,
13.5722,100.837,,,,,
13.5722,100.837,,,,,
13.5722,100.837,,,,,
13.5722,100.837,,,,,
13.5722,100.837,,,,,
13.5722,100.837,,,,,
13.5722,100.837,,,,,
13.5722,100.837,,,,,
13.5722,100.837,,,,,
13.5722,100.837,,,,,
13.5722,100.8371,,,,,
13.5722,100.8371,,,,,
13.5723,100.8371,,,,,
13.5723,100.8372,,,,,
13.5723,100.8373,,,,,
13.5723,100.8373,,,,,
13.5723,100.8374,,,,,
13.5724,100.8375,,,,,
13.5724,100.8376,,,,,
13.5724,100.8377,,,,,
13.5724,100.8378,,,,,
13.5725,100.8379,,,,,
13.5725,100.838,,,,,
13.5725,100.838,,,,,
13.5725,100.8381,,,,,
13.5725,100.8381,,,,,
13.5725,100.8383,,,,,
13.5726,100.8384,,,,,
13.5726,100.8384,,,,,
13.5726,100.8385,,,,,
13.5726,100.8386,,,,,
13.5727,100.8387,,,,,
13.5727,100.8388,,,,,
13.5727,100.8389,,,,,
13.5728,100.8391,,,,,
13.5728,100.8392,,,,,
13.5728,100.8393,,,,,
13.5728,100.8394,,,,,
13.5728,100.8395,,,,,
13.5729,100.8396,,,,,
13.5729,100.8397,,,,,
13.573,100.8398,,,,,
13.573,100.8395,,,,,
13.573,100.8401,,,,,
13.5731,100.8402,,,,,
13.5731,100.8403,,,,,
13.5731,100.8404,,,,,
13.5732,100.8405,,,,,
13.5732,100.8406,,,,,
13.5732,100.8407,,,,,
13.5732,100.8408,,,,,
13.5733,100.8409,,,,,
13.5733,100.841,,,,,
13.5733,100.8411,,,,,
13.5733,100.8412,,,,,
13.5734,100.8413,,,,,
13.5734,100.8414,,,,,
13.5734,100.8415,,,,,
13.5735,100.8416,,,,,
13.5735,100.8417,,,,,
13.5735,100.8418,,,,,
13.5735,100.8419,,,,,
13.5736,100.842,,,,,
13.5736,100.8421,,,,,
13.5736,100.8422,,,,,
13.5736,100.8423,,,,,
13.5737,100.8424,,,,,
13.5737,100.8425,,,,,
13.5737,100.8426,,,,,
13.5737,100.8427,,,,,
13.5738,100.8428,,,,,
13.5738,100.8429,,,,,
13.5738,100.843,,,,,
